	Unnamed: 0	comment	like_num	dislike_num	sentiment
0	227	카카오맵 별점이 유독 짜더라고요 ㅋㅋ	129	0	G
1	172	카카오맵 은근히 유용한 기능이 많더라고요! 특히 지하철 승하차 알림 진짜... 안 지 얼마 안되었는데 진짜 유용하더라고요지하철에서 이어폰을 많이 쓰는 저한테는 더더욱 도움이 되었던.!!!	38	0	G
2	199	제주 살아서 초정밀 버스 지원 되는데, 버그들이 좀 있지만 굉장히 유용해서 좋습니다!	21	0	G
3	128	저는 잇섭님께서 언젠가 구글 지도, 애플 지도를 다뤄주시길 기다리고 있습니다… 물론 이번 영상도 잘 봤습니다!	20	0	G
4	62	카카오맵 승하차 알림이 진짜 개편함 몇년전에 벨모양 우연히 눌러서 처음 알게됐는데 버스탈때 ㅈㄴ 유용함	12	0	G
5	186	01:14 갤럭시 유저의 경우 워치와 휴대폰이 연동되어서 더 편하게 쓸 수도 있습니다! 최근 카카오맵 갤럭시 워치 어플이 새로 생겼거든요. 휴대폰에서 승하차 알람 설정해두면 휴대폰에서 다른 걸 해도 워치에서 알람을 주니까 놓치지 않게 되더라구요	11	0	G
6	106	형 해외 살다가 곧 여름에 한국으로 다시 가는데 지도앱을 뭐 쓸까? 이러고 있었는데 형 덕분에 많은 도움이 될 것 같아! 고마워❤	10	0	G
7	183	카카오맵 솔직히 버스 안타던 입장으로써 버스 노선만 알려주는거만 해도 goat임 미쳤음	8	0	G
8	182	구글맵 한국 서비스나 됬으면 좋겠다...	8	0	G
9	225	이 영상 덕에 카카오맵으로 갈아탑니다…!	7	0	G
10	121	7:45 별점관련해서 저렇게 해두는게 좋다고 느낀게..국내에서 여행가서 밥집 찾다가 아쉬운적이 많은데. 일본가면 다들 별점을 짜게 줘서 그런지타베로그 2.5만 넘어도 맛집이라 믿고 가서 좋았던거같네용..	7	0	G
11	223	나만 알고 있었는데.. 형 덕분에 모두가 알게됐네......(네이버 쓰다가 화나서 카카오로 갈아탄 사람 입니다)	6	0	G
12	174	카카오맵 쪽은 아니지만 카카오에서 일하고 있는 개발자입니다. 잇섭에서 뜬금 회사 이름이 붙어있어서 반가운 맘에 바로 눌렀네요😂😂😂 카카오맵 애용해주셔서 감사합니다~	5	0	G
13	166	카카오맵 저를 포함해 정말 많은 분들이 사용하시는 걸로 알고 있는데 그에 대한 꿀팁이라니 오늘 정말 유용한 팁들 많이 얻어 갈 수 있을 것 같습니다.	4	0	B
14	99	3:54 약속시간을 정한다기보단 위치 공유를 유지하는 시간으로 보시면 됩니다 행님 😉춘천시민으로써 초정밀 버스 개꿀👍	4	0	G
15	44	와이프 보기 전에 영상 내려주세요.	2	0	G
16	80	구글처럼 이동경로 히스토리도 만들어 주세요내가 이날 어디 갔고 그날 어디서 멀 먹었으며그날 누구랑 만났고 무슨 일을 했는지 지도에 기록 하고 싶어요.	2	0	B
17	211	제목에서 광고의 느낌이 났다!!	2	0	B
18	185	왜 꿀팁은 항상 숨겨져있을까… 공개되면 안되나 ㅎㅎ	2	0	G
19	25	다음맵부터 써왔는데 좋음.역이 어딘지 몰라서 알고 싶을 때 직전역이 아니더라도 빨간색으로 깜빡이면서 현재역 표시해줘서 좋음바라는 점이 있다면 즐겨찾기 기능 강화해줬으면A정류장에 a,b,c,d 버스 중 a,b만 표시, 환승 B정류장에는 e,f 버스만 표시되게 가능하면 좋겠고그 경로를 즐겨찾기 가능했으면 좋겠음 ㅜㅜ 회사 출근할떄마다 회사 찍고 원하는 경로 찾아서 하차알림 누르기 번거로움....여기에 주문/포장 결제도 가능한 시스템 만들어 주면 좋을거같은데회사에서 점심 먹을 때 미리 예약하는거 중요한데 지도앱에서 하고 싶어요 근데 소상공인들이 카카오를 안좋아하더라고여... 네이버에 비해 수수료가 한참 비싸다고	2	0	B
20	178	승하차 알람 추가로 이어폰 꽂으면 음성으로도 알려줍니다(언급이 없길래 ㅎㅎ)	2	0	G
21	173	전설의 상대방 위치 확인 앱 오빠믿지 기억하는 사람✋🏻	2	0	G
22	98	어메이즈핏으로 카카오맵 승하차 위치알림 알림 받으면서 꽤 오래 잘 써왔어요. 근데 전엔 하차하기 2정거장 전에 알림을 줬는데 올해 초?부터 도착까지 남은 시간을 1분? 간격으로  계속 알려줘서 불편합니다... 그래서 잘 쓰던 승하차알림 못쓰고 있어요.. 갤워치나 애플워치는 이런 불편 없으신지... ㅠㅠ 잇섭님 덕분에 어메이즈핏 mini 넘넘 잘 쓰고 있었는데 카카오맵 등판한 김에 남겨봅니다 ㅠㅠㅋ	2	0	G
23	196	카카오맵이 좋긴 한데 제가 사는 지역에는 가게 오픈 시간이나 리뷰 사진 같은게 부족해서 네이버 지도를 더 자주 쓰게 됨.....	2	0	B
24	193	네이버지도 리뷰는 다 돈받고 하는거라 믿거 하고 카카오맵 써야됨 ㅋㅋ	2	0	B
25	189	잇섭님만 믿고 카카오맵 깔러갑니다	1	0	G
26	190	굿😊 😅폼미쳤 다	1	0	G
27	76	초정밀버스는 제주도에서 맨 처음 시행된 서비스예요 카카오맵에 제주버스라고 되어있었는데 다른 지역도 서비스 시작하면서 이게 초정밀버스로 업그레이드 되었나봐요 제주도 살 때 저 기능 진짜 편리했어요 특히 배차간격이 긴 버스 탈때 아주 유용했습니다 출퇴근 할 때도 회사 가는 버스가 어디있는지 알 수 있어서 좋았어요 실시간으로 버스 위치 확인 하면서 버정까지 뛰어가야할지 걸어가야할지 판단할 수 있었거든요ㅋㅋㅋ톡친구 위치공유 서비스는 처음 알게되었는데 친구들이랑 약속 잡히면 한번 써봐야겠어요cctv 기능도 아주 유용합니다 제주도는 아주 넓기 때문에 지역에 따라 날씨가 다를때도 있는데 이 기능을 이용해 아 서귀포는 비오는구나 눈 오는구나 하면서 미리 대처 할 수 있었어요지금 보니까 셀프사진 이라는 탭도 새로 생겼네요 타지역에 놀러갈때마다 인생네컷 포토이즘 하루필름 찾는게 일이었는데 이것도 아주 유용할것 같네요잇섭님 덕분에 많은 기능 알아갑니다~	1	0	G
28	187	pc에서 카카오맵 로드뷰 쓸 때 화살표키 or wasd 누르면 이동Q - 제자리에서 좌측으로 회전E -  제자리에서 우측으로 회전R - 제자리에서 위로 화면이동F - 제자리에서 아래로 화면이동   마우스로만 화살표 클릭하다가 얼마전 알아서 요긴하게 쓰고 있습니다.	1	0	B
29	198	카카오맵이 개인 정보 유출 논란을 빼면 좋은 앱이지	1	0	G
30	79	카카오맵 위치공유 너무 악용이 큰지라...코로나 전에 회사에서 상사가 너 어디냐 라는 식으로 하도 주말에도 족쇄처럼 죄어와서...	1	0	G
31	191	■ 속보) 삼성전자(우): 1분기 배당(D-6): 미리 매수후, 배당 받자● 배당일(3/29) 다가 올수록, 매수세 몰려 큰 상승: 선매수 유리◆ 희소식): 반도체 투자 25% 세금 면제: 약 2.3조원 절감 효과 외국인+기관(세력): 삼성전자(우) 최근 600만주 쌍끌이 매수1. 분기별 배당 주는 회사 거의 없음: 배당으로 수익 챙기기 좋은 기회삼성전자(우): 고수익+고배당 주는 종목, 장기투자시 수익도 커진다2. 분기별 배당금: 약 2.5조원 나옴(보통주+우선주 포함)거의 재투자 전망: 주가 큰 상승 예상, 미리 매수해 둡시다❤ 삼성전자(우): 보통주 보다 저렴, 우선주가 배당 10% 더 많아 유리!● 시스템반도체 성장성 커, 10만원 전망: 저가 매수 기회	1	0	B
32	194	실시간 CCTV 꿀팁) 월요일에 시간 맞춰서 특정장소(논산훈련소) CCTV보면 기분살짝좋아짐	1	0	G
33	68	카카오맵 버렸나 싶을정도로 업데이트 안함. 없어진 가게도 많고, 있는데 검색 안되는 가게도 많은데다가 연동된 네비대로 갔다가 길이 이상한데로 안내하는곳도 엄청 많음. 얼마뒤에 또 가도 그대로임. 개노답	1	0	G
34	70	응 네이버가원탑이야~좆카오안써~	1	0	G
35	82	초정밀 버스가 전국 확대 되는 중 이네요 ㅋ 제주도에서만 되는 줄 알았네요 ㅋ	1	0	G
36	159	카맵 진짜 인정이지 .... 늦은 시간 귀가할때 필수임	1	0	G
37	141	카카오내비도 실험실인가 기능 켜면 다음 신호등 시간 알려주는거 ㄹㅇ편함	1	0	G
38	143	지도앱은 처음 썼던 네이버 지도를 쓰고 나서는 다른 것은 해보지 않아서 계속 하나만 써왔는데, 카카오맵도 한번 도전해보겠습니당 ㅋㅋ꿀팁 감사드려요!	1	0	B
39	147	초정밀버스 좋은게 미리알고 원하는 버스가 여러대올때 2번째로 오면 처음부터 2번째자리에 대기하면 자리 앉기 개꿀기능임	1	0	G
40	155	w3w 도 지원한다구여... 사실 요즘엔 광고하는 사람들이 많지만 카카오 리뷰 진짜 괜찮았거든요솔직히 네이버는 돈받고 광고하는 사람들이 많아서 카카오 지도가 조금더 신빙성이 높았는데...요새 보니 카카오맵도 많이 ㅠㅠ 물들었습니다 그래서 별점 잘준 계정 후기 검증 필수입니다	1	0	B
41	122	찐자 좋은 정보 입니다. 잠들다가 역에서 못 내러서 종점 역 가서요. 😅제주도 낚시 가기전에 날씨 cctv 보고 좋은것 같아요. 😊	1	0	G
42	117	카카오맵 몇년째 쓰고있는데 매우 만족 ㅎ	1	0	G
43	164	위치 공유 기능의 위치 정보 업데이트 속도는 빠른편인가요.?	1	0	G
44	85	제주도 살면 카카오맵 국률이죠..	1	0	G
45	165	카카오맵은.. 네이버랑 다르게 영수증 없이 리뷰를 남길 수 있어서 신빙성이 많이 낮더라고요.. 그건 좀 아쉬운 부분입니다	1	0	G
46	108	즐겨찾기 색상 바꿀때 해제안하고 바꿀 수 있는 기능 좀 들어갔으면.....	1	0	G
47	97	네이버 지도 쓰는데... 갈아타?	1	0	B
48	175	솔직히 2015년 당시 ATM기 찾으러 네이버 지도 켰는데, 택시 타고 갔더니 없더라구요... 그때 충격으로 카카오맵으로 갈아탔는데, 최근에 한번 비슷한 사건이 생겼는데, 너무 오래 쓴건지, 이제 무뎌졌는지... 그냥 쓰고 있는데, 좋은 정보 감사드려요.	1	0	G
49	89	네이버지도 보다 카카오맵이 더 좋더라구요😂	1	0	B
50	56	스벅 자주 가는 사람들은 시간대별 이용자 그래프도 볼 수 있어서 좋긴 함	1	0	G
51	201	형 혼밥하는데 고마워용🥰	1	0	G
52	139	큰일이네....카카오는 좀 망가지고 인기가 떨어졌으면 싶은데...위치추적 외에는 네이버 지도에서도 동일한 기능들이에요독과점 카카오 말고 네이버 흥해라 제발	1	0	B
53	244	잇섭 폼 미쳤다	1	0	G
54	22	유명 유튜버 잇섭 굉장하다	1	0	G
55	229	나 1	1	0	B
56	222	네이버지도 만세	1	0	B
57	27	인트로에 먼저와있던 사람 알고보니 크로마키인거 아님?ㅋㅋ	1	0	G
58	219	ㅋㅋㅋㅋㅋㅋ 요즘 풍년으로 바꼈다고요 ㅋㅋㅋㅋㅋㅋㅋㅋ	1	0	G
59	39	이게 아이폰은 지하철은 안되고갤럭시는 다 되는 알람 ㅎㅎ	1	0	G
60	40	맨날 강남갈때 사람때문에 치여서 언제 내려야하는지 항상 보기 힘들었는데 승하차 알림은 ㄹㅇ잘만들었다 특히 수도권사람한테는 필수인듯	1	0	B
61	218	일요일 저녁의 잇섭은 야동이지🎉	1	0	G
62	231	인트로 ㅋㅋㅋㅋㅋㅋㅋ	1	0	G
63	215	역시 인트로 유튜버 ㅋㅋㅋㅋ	1	0	G
64	226	네이버 개불편함 카카오맵 짱	1	0	G
65	236	우선 추천부터!!	1	0	B
66	208	아 나만 알고있던건데..	1	0	B
67	16	카맵, 네이버지도, 티맵 전부 기능 자체는 알고는 있었지만 구글 지도만큼 유용한 것이 없다 생각한데다 또 길눈이 워낙 밝은 편인지라 지도앱 자체를 쓸 일이 없었는데 ㅋㅋ 한국에서 서비스가 제대로 될 때까지 기다리자 했었는데 제가 모르던 것도 있다는 것을 알게 되네요 ㅋㅋ 구글 지도 들어오기 전까지 좋은 대체재가 될 것 같습니다 ㅋㅋ	1	0	G
68	17	카카오맵 맛집 별점이 레알 꿀팁인거 아는사람이 있네 ㅋㅋ	1	0	G
69	210	역시형은 [인트로만]재밌어	1	0	G
70	247	굿	1	0	G
71	14	개인적으로 애플 다이나믹 아일랜드도 빠른시일내에 적용되었으면 좋겠네요... 승하차 알림시 유용하게 사용될거 같습니다!	1	0	G
72	167	형 친구 많잖아	0	0	G
73	242	1빠	0	0	B
74	241	ㅎㅇ	0	0	G
75	239	아니 카카오까지 섭렵한거냐? 잇섭	0	0	B
76	160	이거 안보고 없섭 보고싶엉	0	0	G
77	161	드디어 2일남았네? 연진아	0	0	G
78	162	우리나라 지도 국외반출 허용되는 즉시 구글맵에 의해 사장될것이다...솔직히 해외 민간위성으로도 다 볼 수 있는 지금 이 법이 의미가 있나 싶음..	0	0	G
79	158	하다하다 카카오같은 기업한테 광고를 받고 영상을...	0	0	B
80	163	겨드랑이 모자이크 처리해주신거 진심으로 감사드립니다	0	0	G
81	240	1	0	0	G
82	238	1빠	0	0	B
83	207	1등이닷!	0	0	G
84	157	몇달전에 게임샵 갔는데 가기전 ㅋㅋㅇ 맵 활용 영업중 이라고 바로 애기 랑 같이  출발 도착하니 영업안함 인테리어 공사한다고 끝 ㅅ.... 근데 ㅋㅋㅇ 영업한다고 확인한고 당산에서 양재까지 갔는데 열받는건 담배 꼬나물고 자기네는 ㅋㅋㅇ 니 네이버니 그런거랑 상관없다고 기분나쁘게 얘기해서 애기랑 실망하고 돌아온적이 있네요 너무 믿지마세요 ㅋㅋㅇ	0	0	B
85	156	다음맵이 카카오맵되었죠  애플기본맵이랑   그리고 카카오맵 경쟁사 티맵 네이버맵이랑 비교도될까요	0	0	B
86	249	오 개꿀팁이네	0	0	G
87	142	수도권도 초정밀기능 지원해줘	0	0	B
88	248	첫번째	0	0	G
89	144	전 대학교 서울로 올라오고나서 무조건 카카오맵만 봐요 ㅋㅋㅋㅋㅋㅋㅋㅋ 영상 감사합니다!	0	0	G
90	145	초정밀버스 쓸만한데 서울까지 되면 부산보다 더 징그러울듯ㅋㅋㅋㅋㅋㅋ버스 엄청 우글우글거릴거닼ㅋㅋㅋ	0	0	G
91	146	와!정말 유용하다 지금당장 카카오맵을 다운받으러 가야하겠는걸?	0	0	G
92	148	아 대전도 버스노선 알려줘 빼액	0	0	G
93	149	구글 지도가 한국에 정식으로 서비스한다는 의미인가? 갑자기 광고를 하다니…	0	0	B
94	150	네이버지도만 쓰고있었는데 인트로보고 카카오를..	0	0	B
95	246	1	0	0	G
96	151	제주, 부산, 광주 등에서 초정밀 버스 지원해서 좋긴하던데 다른지역도 지원되었으면 좋겠더라고요 그리고 위치공유? 이 서비스는 영상보면서 첨알았네요 속도까지 볼 수 있다니ㅇㅅㅇ	0	0	G
97	152	형 아이폰 옐로우 샀어??	0	0	G
98	153	아직 서울은 업데이트가 안 됐군요.. ㅋㅋㅋ	0	0	G
99	154	그래서 네이버지도 이김?	0	0	B
100	245	1	0	0	G
101	168	아이폰 지하철 알림은 ㄹㅇ 어떻게 안되나 ㅜㅜ 갤럭시때는 진짜 편하게 썼었는데 ㅜㅜ	0	0	G
102	243	ㅋㅋ	0	0	G
103	237	캬	0	0	G
104	233	오프닝ㅋㅋㅋ	0	0	G
105	169	유트브코리아 대표. 인트로 맛집.	0	0	G
106	213	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ인트로 맛집	0	0	G
107	217	오우 광고 첨보는듯	0	0	B
108	140	안동도 카카오맵 버스 실시간좀 제발.....	0	0	G
109	216	잇섭님이 아싸?	0	0	G
110	195	인트로 잇섭의 다잇섭 부분도 이제 4k화질로 업데이트 하면 좋을거 같아요	0	0	G
111	214	1	0	0	G
112	197	카카오맵 지하철 하차 알림이랑, 빠른 출구 정보 때문에 유용하게 쓰고 있죠	0	0	G
113	212	ㅋㅋㅋ	0	0	G
114	188	1:48 친구(없음)... 흑...ㅠ	0	0	B
115	200	따끈잇섭!!	0	0	G
116	209	잡았다 요놈	0	0	B
